time,wind_speed,wind_direction,stability_class,number,latitude,longitude,expver
2024-01-06 10:00:00,5.292438,56.563416,D,0,55.58,13.01,0001
2024-01-06 11:00:00,5.1271977,56.42343,D,0,55.58,13.01,0001
2024-01-06 12:00:00,5.078573,55.233,D,0,55.58,13.01,0001
2024-01-06 13:00:00,5.173428,52.50702,D,0,55.58,13.01,0001
2024-01-06 14:00:00,5.100008,50.307343,D,0,55.58,13.01,0001
2024-01-06 15:00:00,5.0160394,49.89514,D,0,55.58,13.01,0001
2024-01-06 16:00:00,5.2024016,48.600708,D,0,55.58,13.01,0001
2024-01-06 17:00:00,5.214576,47.307068,D,0,55.58,13.01,0001
2024-01-06 18:00:00,5.2249804,46.058685,D,0,55.58,13.01,0001
2024-01-06 19:00:00,5.266401,43.217773,D,0,55.58,13.01,0001
2024-01-06 20:00:00,5.13869,42.660675,D,0,55.58,13.01,0001
2024-01-06 21:00:00,5.118794,42.484802,D,0,55.58,13.01,0001
2024-01-06 22:00:00,4.690811,43.330902,D,0,55.58,13.01,0001
2024-01-06 23:00:00,4.652277,39.05301,D,0,55.58,13.01,0001
2024-01-07 00:00:00,4.5105143,36.854156,D,0,55.58,13.01,0001
2024-01-07 01:00:00,4.584119,35.733,D,0,55.58,13.01,0001
2024-01-07 02:00:00,4.4939704,36.941406,D,0,55.58,13.01,0001
2024-01-07 03:00:00,4.542512,36.533325,D,0,55.58,13.01,0001
2024-01-07 04:00:00,4.387287,34.844177,D,0,55.58,13.01,0001
2024-01-07 05:00:00,4.299628,33.430725,D,0,55.58,13.01,0001
2024-01-07 06:00:00,4.162028,32.130127,D,0,55.58,13.01,0001
2024-01-07 07:00:00,4.2673597,32.30426,D,0,55.58,13.01,0001
2024-01-07 08:00:00,4.422357,32.7959,D,0,55.58,13.01,0001
2024-01-07 09:00:00,4.6720643,32.78409,D,0,55.58,13.01,0001
2024-01-07 10:00:00,4.4624276,35.969666,D,0,55.58,13.01,0001
2024-01-07 11:00:00,4.643703,31.724304,D,0,55.58,13.01,0001
2024-01-07 12:00:00,5.1200786,30.570343,D,0,55.58,13.01,0001
2024-01-07 13:00:00,5.2668467,32.55237,D,0,55.58,13.01,0001
2024-01-07 14:00:00,5.1981416,36.052185,D,0,55.58,13.01,0001
2024-01-07 15:00:00,5.3971186,39.08893,D,0,55.58,13.01,0001
2024-01-07 16:00:00,5.2885656,37.38623,D,0,55.58,13.01,0001
2024-01-07 17:00:00,5.3479915,34.199036,D,0,55.58,13.01,0001
2024-01-07 18:00:00,5.400023,32.393677,D,0,55.58,13.01,0001
2024-01-07 19:00:00,5.3556886,31.41217,D,0,55.58,13.01,0001
2024-01-07 20:00:00,5.37391,30.518036,D,0,55.58,13.01,0001
2024-01-07 21:00:00,5.3934627,30.151733,D,0,55.58,13.01,0001
2024-01-07 22:00:00,5.2260656,30.648865,D,0,55.58,13.01,0001
2024-01-07 23:00:00,5.435979,33.062622,D,0,55.58,13.01,0001
2024-01-08 00:00:00,5.486644,35.74417,D,0,55.58,13.01,0001
2024-01-08 01:00:00,5.2153606,39.80237,D,0,55.58,13.01,0001
2024-01-08 02:00:00,4.912409,40.32248,D,0,55.58,13.01,0001
2024-01-08 03:00:00,4.70252,40.53711,D,0,55.58,13.01,0001
2024-01-08 04:00:00,4.875989,33.94626,D,0,55.58,13.01,0001
2024-01-08 05:00:00,5.054123,33.210815,D,0,55.58,13.01,0001
2024-01-08 06:00:00,4.913759,37.727844,D,0,55.58,13.01,0001
2024-01-08 07:00:00,4.422582,40.551514,D,0,55.58,13.01,0001
2024-01-08 08:00:00,4.016891,37.235687,D,0,55.58,13.01,0001
2024-01-08 09:00:00,4.326107,34.385223,D,0,55.58,13.01,0001
2024-01-08 10:00:00,3.810113,27.47815,C,0,55.58,13.01,0001
2024-01-08 11:00:00,3.8268135,28.554749,C,0,55.58,13.01,0001
2024-01-08 12:00:00,3.4909015,28.339722,C,0,55.58,13.01,0001
2024-01-08 13:00:00,3.0485568,24.69693,C,0,55.58,13.01,0001
2024-01-08 14:00:00,2.7263844,19.765045,C,0,55.58,13.01,0001
2024-01-08 15:00:00,2.9441836,13.72879,F,0,55.58,13.01,0001
2024-01-08 16:00:00,2.9439623,9.4644165,F,0,55.58,13.01,0001
2024-01-08 17:00:00,2.8839169,6.8237305,F,0,55.58,13.01,0001
2024-01-08 18:00:00,2.7696586,4.30011,F,0,55.58,13.01,0001
2024-01-08 19:00:00,2.5419116,357.687,F,0,55.58,13.01,0001
2024-01-08 20:00:00,2.2634804,347.0463,F,0,55.58,13.01,0001
2024-01-08 21:00:00,2.2416654,337.39502,F,0,55.58,13.01,0001
2024-01-08 22:00:00,2.437064,331.87387,F,0,55.58,13.01,0001
2024-01-08 23:00:00,2.5573096,327.05392,F,0,55.58,13.01,0001
